inventor_id,name,country
fl:jo_ln:marron-5,Joseph Marron,US
fl:hy_ln:yu-60,Hyeon Jae Yu,KR
fl:su_ln:lee-252,Sun-Woo Lee,KR
fl:do_ln:kim-296,Dong Jin Kim,KR
fl:si_ln:kim-38,Si Min Kim,KR
fl:do_ln:choi-29,Dong-Hyeon Choi,KR
fl:yu_ln:kim-61,Yun-Jo Kim,KR
fl:gu_ln:bergmann-3,Guido Bergmann,DE
fl:cr_ln:mehren-1,Cristoph Mehren,DE
fl:ca_ln:elsasser-1,Carsten Elsasser,DE
fl:mi_ln:zubiriaelizondo-1,Miguel Jorge Zubiria Elizondo,MX
fl:jo_ln:valadezlopez-1,Jose Juan Valadez Lopez,MX
fl:ka_ln:oda-24,Katsunori Oda,JP
fl:ke_ln:katou-9,Kenji Katou,JP
fl:ma_ln:saelen-1,Marc Saelen,FR
fl:co_ln:dickert-1,Corey Dickert,US
fl:ja_ln:kotes-1,Jarrod Kotes,US
fl:wi_ln:didier-2,Will Didier,US
fl:ia_ln:zimmermann-1,Ian Zimmermann,US
fl:al_ln:huber-4,Alex Huber,US
fl:li_ln:caspi-2,Liah Caspi,US
fl:na_ln:maier-2,Nathan Christopher Maier,US
fl:ca_ln:terrero-1,Carlos M. Terrero,US
fl:br_ln:hanna-6,Brian A. Hanna,US
fl:ly_ln:saxton-1,Lynn Saxton,US
fl:ro_ln:irizarry-1,Roberto A. Irizarry,US
fl:do_ln:fess-1,Donald R. Fess,US
fl:gr_ln:mark-2,Gregory Thomas Mark,US
fl:ti_ln:diehlmann-1,Tim DIEHLMANN,DE
fl:fr_ln:dietzen-1,Franz-Josef Dietzen,DE
fl:di_ln:scherzer-1,Dietrich Scherzer,DE
fl:ca_ln:sandner-1,Carsten SANDNER,DE
fl:he_ln:schall-2,Herbert Schall,DE
fl:ro_ln:nick-1,Robert J. Nick,US
fl:ra_ln:uttaro-1,Raymond Uttaro,US
fl:ra_ln:windbichler-1,Ralph Windbichler,DE
fl:st_ln:mag-1,Stefan C. Mag,US
fl:ma_ln:hill-11,Matthew D. Hill,US
fl:li_ln:fang-4,Liane Fang,US
fl:sc_ln:myers-6,Scott A. Myers,US
fl:ty_ln:cater-1,Tyler B. Cater,US
fl:jo_ln:spalding-3,John F. Spalding,US
fl:ni_ln:room-1,Nicholas H. Room,US
fl:ma_ln:vargas-1,Mary H. Vargas,US
fl:me_ln:watson-1,Megan N. Watson,US
fl:ja_ln:chanes-1,James D. Chanes,US
fl:mi_ln:evens-1,Michael W. Evens,US
fl:ka_ln:ferguson-3,Kathy L. Ferguson,US
fl:ru_ln:keller-9,Russell L. Keller,US
fl:jo_ln:hafenrichter-2,Joseph L. Hafenrichter,US
fl:st_ln:russel-1,Steven M. Russel,US
fl:je_ln:swing-1,Jeffrey N. Swing,US
fl:er_ln:ruiz-1,Erwin Ruiz,US
fl:pa_ln:fromm-1,Paul M. Fromm,US
fl:ma_ln:takenami-2,Masataka Takenami,JP
fl:sa_ln:abe-7,Satoshi Abe,JP
fl:yo_ln:higashi-12,Yoshikazu Higashi,JP
fl:is_ln:fuwa-1,Isao Fuwa,JP
fl:sc_ln:defelice-1,Scott DeFelice,US
fl:an_ln:decarmine-1,Anthony DeCarmine,US
fl:al_ln:shkolnik-1,Alexandr Shkolnik,US
fl:al_ln:elsiblani-1,Ali El-Siblani,US
fl:yo_ln:jeong-15,Yong Wook Jeong,KR
fl:ja_ln:park-207,Jae Young Park,KR
fl:kw_ln:choi-30,Kwang Min Choi,KR
fl:su_ln:jang-110,Sung Ho JANG,KR
fl:in_ln:cha-10,In-Hyok CHA,KR
fl:sa_ln:han-114,Sang Hoon Han,KR
fl:ma_ln:kismarton-1,Max U. Kismarton,US
fl:ma_ln:matsen-1,Marc R. Matsen,US
fl:ma_ln:negley-3,Mark A. Negley,US
fl:wo_ln:schoenberger-1,Wolfgang Schoenberger,DE
fl:kl_ln:voth-1,Klaus Voth,DE
fl:wi_ln:unruh-1,William C. Unruh,US
fl:ro_ln:ausen-1,Ronald W. Ausen,US
fl:th_ln:hanschen-1,Thomas P. Hanschen,US
fl:wi_ln:kopecky-3,William J. Kopecky,US
fl:so_ln:nakane-1,Soichiro Nakane,JP
fl:hi_ln:miyata-24,Hirofumi Miyata,JP
fl:hi_ln:izumi-20,Hisashi Izumi,JP
fl:ma_ln:ohara-23,Masaaki Ohara,JP
fl:ke_ln:elliott-2,Kevin Eugene Elliott,US
fl:ma_ln:mueller-28,Markus Mueller,DE
fl:ge_ln:engler-1,Gebhard Engler,DE
fl:th_ln:spiesshofer-1,Thomas Spiesshofer,DE
fl:al_ln:denis-1,Alain Denis,US
fl:am_ln:george-2,Amy George,US
fl:fu_ln:li-83,Fuping Li,CN
fl:ro_ln:eilertson-2,Ron Eilertson,US
fl:jo_ln:parker-39,"John W. Parker, Jr.",US
fl:gi_ln:blanchette-1,Gil Blanchette,US
fl:st_ln:correa-1,Steve Correa,US
fl:ma_ln:vanbeek-1,Marlon Van Beek,US
fl:mi_ln:melo-1,Michael Melo,US
fl:pa_ln:burke-6,Paul C. Burke,US
fl:ti_ln:chapman-2,Timothy L. Chapman,US
fl:mi_ln:smith-40,Michael W. Smith,US
fl:sh_ln:lowther-1,Sharon E. Lowther,US
fl:ro_ln:bryant-13,Robert G. Bryant,US
fl:ke_ln:jordan-8,Kevin C. Jordan,US
fl:ch_ln:park-244,Cheol Park,US
fl:ji_ln:kang-14,Jin Ho Kang,US
fl:go_ln:sauti-1,Godfrey Sauti,US
fl:ei_ln:ohta-2,Eiji Ohta,JP
fl:sh_ln:ohkawara-1,Shigehisa Ohkawara,JP
fl:sh_ln:matsumura-14,Shinichi Matsumura,JP
fl:ki_ln:nishimura-5,Kimitaka Nishimura,JP
fl:em_ln:yoshida-1,Emi Yoshida,JP
fl:ta_ln:yoshida-95,Takahiro Yoshida,JP
fl:to_ln:tsuruda-1,Tomoyuki Tsuruda,JP
fl:no_ln:mukai-13,Nobuaki Mukai,JP
fl:ya_ln:farhoudi-1,Yalda Farhoudi,US
fl:ar_ln:karagiannis-1,Aristotelis Karagiannis,US
fl:me_ln:szlosek-1,Megan L. Szlosek,US
fl:ch_ln:vandevoorde-3,Christof Vandevoorde,BE
fl:jo_ln:meirlaen-1,José MEIRLAEN,BE
fl:lo_ln:farina-1,Lorenza Farina,IT
fl:pa_ln:carmellino-1,Pasquale Carmellino,IT
fl:al_ln:penaforte-1,Alberto Penaforte,IT
fl:da_ln:nisiro-1,Daniela Nisiro,IT
fl:m._ln:parsio-1,M. David Parsio,US
fl:ch_ln:robert-8,Christophe Robert,FR
fl:lu_ln:sallet-1,Ludovic Sallet,FR
fl:ch_ln:notteau-1,Christophe Notteau,FR
fl:ma_ln:fogliati-1,Massimiliano Fogliati,IT
fl:sa_ln:marcarino-1,Sandro Marcarino,IT
fl:ra_ln:giovannini-1,Raffaella Giovannini,IT
fl:to_ln:hasegawa-39,Toshiaki Hasegawa,JP
fl:go_ln:tazaki-1,Go Tazaki,UNKNOWN
fl:hi_ln:suzuki-87,Hideaki Suzuki,JP
fl:jo_ln:robinson-29,John W. Robinson,US
fl:ts_ln:yang-98,Tsungying Yang,CN
fl:da_ln:liu-118,Dandan Liu,CN
fl:ha_ln:sun-101,Haiyan Sun,CN
fl:de_ln:li-133,Dejiun Li,CN
fl:je_ln:horning-2,Jeromy D. Horning,US
fl:ma_ln:jungklaus-2,Matthew W. Jungklaus,US
fl:st_ln:wrobel-2,Steven J. Wrobel,US
fl:mi_ln:defillipi-1,Michael DeFillipi,US
fl:di_ln:elbracht-2,Dirk Elbracht,DE
fl:jo_ln:rodriguez-38,Jorge M. Rodriguez,US
fl:je_ln:bradway-1,Jeffrey J. Bradway,US
fl:ti_ln:clark-5,Timothy J. Clark,US
fl:gr_ln:anderson-12,Gregory B. Anderson,US
fl:ti_ln:stowe-3,Timothy Stowe,US
fl:sa_ln:badesha-1,Santokh S. Badesha,US
fl:ma_ln:kanungo-1,Mandakini Kanungo,US
fl:br_ln:gentle-1,Brian Joseph Gentle,US
fl:gl_ln:caron-1,Glen Roger Caron,US
fl:gu_ln:peter-3,Gunter Peter,DE
fl:jo_ln:seefeld-1,Jorg Seefeld,DE
fl:uw_ln:becker-2,Uwe Becker,DE
fl:lu_ln:halbach-1,Lutz Halbach,DE
fl:fr_ln:schumann-2,Frank Schumann,DE
fl:ch_ln:ziegenbalg-1,Christian Ziegenbalg,DE
fl:st_ln:ehrhardt-4,Stephan Ehrhardt,DE
fl:ma_ln:mantani-1,Masayuki Mantani,JP
fl:se_ln:kuroda-2,Seiya Kuroda,JP
fl:or_ln:perets-1,Oren Perets,IL
fl:ya_ln:shemesh-1,Yair Shemesh,IL
fl:ma_ln:isalcortes-1,Marc Isal Cortes,ES
fl:to_ln:yamada-83,Tomokazu Yamada,JP
fl:yo_ln:kondo-49,Yoichiro Kondo,JP
fl:sh_ln:tomimatsu-4,Shingo TOMIMATSU,JP
fl:yo_ln:naganuma-5,Yoichi Naganuma,JP
fl:sh_ln:watanabe-88,Shunsuke Watanabe,JP
fl:mo_ln:takabe-1,Motoki Takabe,JP
fl:ei_ln:hirai-4,Eiju Hirai,JP
fl:ma_ln:nakayama-43,Masao Nakayama,JP
fl:yo_ln:hokari-1,Yoshihiro Hokari,JP
fl:ta_ln:saito-53,Takeshi Saito,JP
fl:to_ln:shimizu-80,Toshihiro Shimizu,JP
fl:ka_ln:fujioka-12,Kazuyuki Fujioka,JP
fl:sa_ln:oya-1,Satoshi Oya,JP
fl:hi_ln:ozeki-4,Hiroyoshi Ozeki,JP
fl:hi_ln:kawate-1,Hiroyuki Kawate,JP
fl:ta_ln:ozawa-3,Takuma OZAWA,JP
fl:ma_ln:yamaguchi-23,Manabu Yamaguchi,JP
fl:ta_ln:mizutani-11,Tadahiro Mizutani,JP
fl:ki_ln:katsuki-1,Kiyoteru Katsuki,JP
fl:to_ln:mizuta-10,Tomohiro Mizuta,JP
fl:sh_ln:arthur-1,Shane E. Arthur,US
fl:my_ln:duncanson-1,Myles S. Duncanson,US
fl:ro_ln:palifka-1,Robert G. Palifka,US
fl:be_ln:moriarty-1,Bennett M. Moriarty,US
