patent_id,title,year,inventor_name,country,company_name
RE50723,Buffer state report transmission method and device therefor,2025,Sung-pyo HONG,KR,PEGASUS WIRELESS INNOVATION LLC
RE50723,Buffer state report transmission method and device therefor,2025,Woo-jin CHOI,KR,PEGASUS WIRELESS INNOVATION LLC
RE50722,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Takahiro NISHI,JP,SUN PATENT TRUST
RE50722,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Toshiyasu SUGIO,JP,SUN PATENT TRUST
RE50722,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Youji Shibahara,JP,SUN PATENT TRUST
RE50722,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Hisao Sasai,JP,SUN PATENT TRUST
RE50721,Concept for combining multiple parametrically coded audio sources,2025,Juergen Herre,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50721,Concept for combining multiple parametrically coded audio sources,2025,Oliver Hellmuth,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50721,Concept for combining multiple parametrically coded audio sources,2025,Karsten Linzmeier,SE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50721,Concept for combining multiple parametrically coded audio sources,2025,Johannes Hilpert,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50721,Concept for combining multiple parametrically coded audio sources,2025,Thorsten Kastner,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50720,Switched capacitor regulators with flying-inverter-controlled power switches,2025,Thomas Li,US,Lion Semiconductor Inc.
RE50720,Switched capacitor regulators with flying-inverter-controlled power switches,2025,Alberto Alessandro Angelo Puggelli,US,Lion Semiconductor Inc.
RE50720,Switched capacitor regulators with flying-inverter-controlled power switches,2025,Zhipeng Li,CN,Lion Semiconductor Inc.
RE50719,Electronic device,2025,Hsien-Te Chen,UNKNOWN,"LG Display Co., Ltd."
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Stefan Bayer,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Frederik Nagel,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Marc Gayer,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Max Neuendorf,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Markus Lohwasser,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Ulrich Kraemer,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Nikolaus Rettelbach,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50718,Apparatus and method for generating a bandwidth extended signal,2025,Sascha Disch,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50717,Barrier for absorbing live fire ammunition and uses thereof,2025,Clayton Dean Amidon,US,"360° Ballistics, LLC"
