uspc_mainclass_id,uspc_mainclass_title,patent_count,short_title
257,"ACTIVE SOLID-STATE DEVICES (E.G., TRANSISTORS, SOLID-STATE DIODES)",51607,"ACTIVE SOLID-STATE DEVICES (E.G., TRANSI..."
428,STOCK MATERIAL OR MISCELLANEOUS ARTICLES,37895,STOCK MATERIAL OR MISCELLANEOUS ARTICLES
370,MULTIPLEX COMMUNICATIONS,37700,MULTIPLEX COMMUNICATIONS
435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,37090,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBI...
438,SEMICONDUCTOR DEVICE MANUFACTURING: PROCESS,36827,SEMICONDUCTOR DEVICE MANUFACTURING: PROC...
514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",36387,"DRUG, BIO-AFFECTING AND BODY TREATING CO..."
455,TELECOMMUNICATIONS,35169,TELECOMMUNICATIONS
424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",30512,"DRUG, BIO-AFFECTING AND BODY TREATING CO..."
D14,"RECORDING, COMMUNICATION, OR INFORMATION RETRIEVAL EQUIPMENT",27028,"RECORDING, COMMUNICATION, OR INFORMATION..."
709,ELECTRICAL COMPUTERS AND DIGITAL PROCESSING SYSTEMS:  MULTICOMPUTER DATA TRANSFERRING,23404,ELECTRICAL COMPUTERS AND DIGITAL PROCESS...
340,COMMUNICATIONS:  ELECTRICAL,23381,COMMUNICATIONS:  ELECTRICAL
345,COMPUTER GRAPHICS PROCESSING AND SELECTIVE VISUAL DISPLAY SYSTEMS,23077,COMPUTER GRAPHICS PROCESSING AND SELECTI...
365,STATIC INFORMATION STORAGE AND RETRIEVAL,20091,STATIC INFORMATION STORAGE AND RETRIEVAL
361,ELECTRICITY:  ELECTRICAL SYSTEMS AND DEVICES,19341,ELECTRICITY:  ELECTRICAL SYSTEMS AND DEV...
382,IMAGE ANALYSIS,19332,IMAGE ANALYSIS
