company_name,patent_count
"SAMSUNG DISPLAY CO., LTD.",71148
International Business Machines Corporation,47760
"Taiwan Semiconductor Manufacturing Company, Ltd.",24318
CANON KABUSHIKI KAISHA,23959
QUALCOMM Incorporated,21723
"HUAWEI TECHNOLOGIES CO., LTD.",20088
Apple Inc.,19709
LG ELECTRONICS INC.,19545
Intel Corporation,18675
TOYOTA JIDOSHA KABUSHIKI KAISHA,17369
"Microsoft Technology Licensing, LLC",16927
"BOE Technology Group Co., Ltd.",14948
General Electric Company,14750
"Amazon Technologies, Inc.",14022
SONY GROUP CORPORATION,13935
GOOGLE LLC,13829
"Micron Technology, Inc.",12568
"FORD GLOBAL TECHNOLOGIES, LLC",11957
MITSUBISHI ELECTRIC CORPORATION,10945
Hyundai Motor Company,10908
